"Locality","Rows","Linear_MAE","Linear_RMSE","Linear_R2","Random_Forest_MAE","Random_Forest_RMSE","Random_Forest_R2"
"Zone_A",14036,0.110449666798715,0.1920003338761,0.87684465974414,0.108618768027881,0.19069363401669,0.878515276149422
"Zone_B",14036,0.080052941107343,0.144339871928089,0.866276606028077,0.0784584781124489,0.141311514498044,0.871828973846301
"Zone_C",14036,0.153769378406304,0.265087755042687,0.877882008517181,0.153833118954759,0.260764212769986,0.881832976690387
"Zone_D",14036,0.0657702896869283,0.116889785025225,0.866009691469269,0.0650822557863589,0.119163947481733,0.860745246080351
"Zone_E",14036,0.0935639472290032,0.162676385661889,0.876830370358674,0.0912539936360786,0.157220607992417,0.884953463420124
