"Feature","X.IncMSE","IncNodePurity"
"lag_1",2.73213511948199,5157.48209092708
"rolling_mean_4",1.30876761313197,2593.44884689271
"lag_672",0.940007505381695,1842.69764105799
"lag_4",0.843277062426097,801.036296501623
"lag_96",0.771291372756006,662.472899609977
"rolling_mean_96",0.933389000136936,361.849770074516
"rolling_mean_672",0.826654815500889,279.905301890713
"hour_cos",2.39688438101861,171.90459892596
"hour",2.42681599239548,120.902846205111
"rolling_sd_672",0.498818637268361,70.686826349592
"rolling_sd_96",1.08981549146429,65.7075689222597
"hour_sin",3.90126557473056,52.4626652421785
"temperature_c",3.94472962829164,47.3132534144898
"wind_speed_kmh",1.52503373504025,42.38431496299
"temperature_humidity_index",0.0878273815555098,40.7038990364234
"humidity_pct",0.734692319084031,39.6807658522633
"water_supply_hours",0.737894090994063,35.2712159092078
"supply_efficiency_index",1.7204013320447,33.9432411336266
"month",3.37218941708621,17.1777113777694
"dow_sin",1.59008806325987,17.1421222461787
"month_cos",0.437406647517116,16.1759709544879
"minute",-0.363104985157528,15.1757434385899
"year",-0.250533551545009,14.9483699754098
"month_sin",1.54464300442712,13.8467469819987
"day_of_week",1.72405817423325,13.6275093516781
"dow_cos",1.48759540630949,12.8950257167497
"locality",0.649232163067434,6.3242900417645
"rainfall_mm",-0.145175318882516,4.63470799302729
"population_density",1.11936355171857,4.50107609116552
"distribution_efficiency",0.809478476675127,3.97285337967106
"is_weekend",0.412023175351504,3.77140055381964
"is_holiday",-0.263492911865327,2.83079730260707
"commercial_pct",0.415596478259926,2.68413075282154
"festival_period",0.667320162140004,2.48262448700708
"residential_pct",-0.159781032956136,2.28737169142036
"high_temperature_event",0.591896478375671,2.28271908305034
"population",0.547336183440099,2.26208557987286
"industrial_pct",0.605810118298724,2.21730513143686
"storage_per_1000_people",0.732586157294388,2.16724390225247
"is_rain_event",0.351883131019157,2.1402780922551
"zone_type",1.02548355253719,1.99133095765192
"heavy_rain_event",0.643322060100255,1.87657079542925
"area_km2",0.564202649740578,1.85408539016512
"infrastructure_stress",0.524100153308626,1.8507233041202
"pipeline_age_years",0.611672887399444,1.61911317282261
"storage_capacity_mld",0.557359726611405,1.46163547129141
"high_wind_event",0.278067604944592,0.138193360436851
